企业名称,主页链接,年限,地址,交易数,主营业务
镇江新区昊然电热电器有限公司,https://shop1412095427752.1688.com/page/contactinfo.htm,7年,江苏镇江,"近90天成交笔数
2
回头率
100%
综合服务分
3",电热器 | 电热带
宝尔马电器集团有限公司,https://baoermalily.1688.com/page/contactinfo.htm,19年,浙江宁波,"近90天成交笔数
271
回头率
50%
综合服务分
4.5",电风扇 | 冬季电器 | 空调扇
义乌市新团日用百货有限公司,https://jianghu1688.1688.com/page/contactinfo.htm,9年,浙江金华,"近90天成交笔数
3733
回头率
31%
厂房面积
3560m²
员工人数
11-50人",手持花洒 | 花洒套装 | 冬季电器
济宁市天通机械设备有限公司,https://15554734299.1688.com/page/contactinfo.htm,4年,山东济宁,"近90天成交笔数
21
回头率
0%
综合服务分
3",压实机械 | 路面机械 | 热风炉
盐山国成陶艺设备厂,https://shop1491412086904.1688.com/page/contactinfo.htm,5年,河北沧州,"近90天成交笔数
13
回头率
30%
综合服务分
3",冬季电器
中山市容驹电器有限公司,https://shop3923545s09180.1688.com/page/contactinfo.htm,1年,广东中山,"近90天成交笔数
4
回头率
0%
综合服务分
3",冬季电器 | 其他取暖电器
佛山市顺德区红孩儿电器有限公司,https://shop3011s1236q881.1688.com/page/contactinfo.htm,2年,广东佛山,"近90天成交笔数
85
回头率
39%
综合服务分
4.5",空调 | 蚊帐、床幔 | 冬季电器
宁波通路宝日用品有限公司,https://shop4675l78796869.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",树脂工艺品 | 冬季电器
中山市金中电热科技有限公司,https://shop9828xfm354358.1688.com/page/contactinfo.htm,1年,广东中山,"近90天成交笔数
1
回头率
0%
综合服务分
3",电火锅 | 迷你电风扇 | 冬季电器
山东腾晨电器有限公司,https://shop50771833pch84.1688.com/page/contactinfo.htm,1年,山东临沂,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
濮阳县美施宝电器有限公司,https://meishidq.1688.com/page/contactinfo.htm,2年,河南濮阳,"近90天成交笔数
175
回头率
57%
综合服务分
4",电风扇 | 家用菜馅机 | 冬季电器
揭阳市雄雅电器有限公司,https://xiongya888.1688.com/page/contactinfo.htm,3年,广东揭阳,"近90天成交笔数
155
回头率
26%
综合服务分
4",电吹风 | 发热垫 | 冬季电器
青州新工环保设备有限公司,https://shop425xx81509896.1688.com/page/contactinfo.htm,2年,山东潍坊,"近90天成交笔数
0
回头率
0%
综合服务分
3",热风炉 | 加热器 | 通风机
沧州晶峰采暖电器有限公司,https://hbjfdq.1688.com/page/contactinfo.htm,4年,河北沧州,"近90天成交笔数
2
回头率
100%
综合服务分
3",家用采暖炉 | 其他取暖电器
广州北卡贸易商行,https://shop73504132n9997.1688.com/page/contactinfo.htm,2年,广东广州,"近90天成交笔数
283
回头率
17%
综合服务分
4.5",夏季电器 | 冬季电器
山东驭能暖通科技有限公司,https://shop1389200296107.1688.com/page/contactinfo.htm,8年,山东潍坊,"近90天成交笔数
0
回头率
0%
综合服务分
3",-
慈溪市方啸电器有限公司,https://shop0634513l9b314.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
12
回头率
9%
综合服务分
3",电风扇 | 冬季电器 | 空调扇
东莞市苏格电器有限公司,https://dgsuge.1688.com/page/contactinfo.htm,5年,广东东莞,"近90天成交笔数
18
回头率
29%
综合服务分
3",转换插座 | 冬季电器
青州山图机械有限公司,https://shop0295307c8yy02.1688.com/page/contactinfo.htm,1年,山东潍坊,"近90天成交笔数
0
回头率
0%
综合服务分
3",热风炉
揭阳空港区溪南欧诺森电器厂,https://shop8t02258662h72.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
114
回头率
13%
综合服务分
3",家用扫地机 | 空气净化器
青岛韩永信电热有限公司,https://hanyongxindianre.1688.com/page/contactinfo.htm,3年,山东青岛,"近90天成交笔数
1
回头率
0%
综合服务分
3",电热膜 | 冬季电器
慈溪花贝电器有限公司,https://huabei68.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
3612
回头率
30%
综合服务分
4.5",迷你电风扇 | 冬季电器
揭阳空港区凤美巨赫电器厂,https://shop18g41531q9b09.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
18
回头率
50%
综合服务分
3",电吹风 | 夏季电器 | 冬季电器
温州市豪普机械有限公司,https://houp.1688.com/page/contactinfo.htm,18年,浙江温州,"近90天成交笔数
15
回头率
8%
综合服务分
4",马术用品 | 毛巾架 | 冬季电器
上海九源电热电器有限公司,https://shop1426265388797.1688.com/page/contactinfo.htm,7年,上海上海,"近90天成交笔数
0
回头率
0%
综合服务分
3",电热板 | 其他取暖电器
中山市苏尼斯电器有限公司,https://sunisi.1688.com/page/contactinfo.htm,6年,广东中山,"近90天成交笔数
264
回头率
30%
综合服务分
3.5",电风扇 | 冬季电器
沧州金迈电热科技有限公司,https://shop12311848910v2.1688.com/page/contactinfo.htm,3年,河北沧州,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 家用采暖炉
天津新锐众成科技有限公司,https://xinruicn.1688.com/page/contactinfo.htm,2年,天津天津,"近90天成交笔数
5231
回头率
62%
综合服务分
4.5",电风扇 | 冬季电器
揭阳空港区凤美米阁家用电器经营部,https://shop2998080x691l7.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
4414
回头率
32%
综合服务分
5",冬季电器 | 夏季电器 | 电吹风
浙江伟峰科技股份有限公司,https://shop567756832t9t3.1688.com/page/contactinfo.htm,1年,浙江嘉兴,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
桓台县起凤镇王老大散热器厂,https://wanglaodasanreqi.1688.com/page/contactinfo.htm,3年,山东淄博,"近90天成交笔数
1
回头率
0%
综合服务分
3",-
慈溪市昊希电器厂,https://cxhaoxi.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
53
回头率
32%
综合服务分
4",电风扇 | 冬季电器
沧州暖的电热节能科技有限公司,https://shop1443632085420.1688.com/page/contactinfo.htm,6年,河北沧州,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 其他取暖电器
佛山市幸福电器科技有限公司,https://shop2467339244778.1688.com/page/contactinfo.htm,2年,广东佛山,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 厨房电器配件
临沂安宝网络技术有限公司,https://shop1403629004934.1688.com/page/contactinfo.htm,3年,山东临沂,"近90天成交笔数
14
回头率
60%
综合服务分
3",挡风披 | 其他取暖电器 | 换鞋凳
揭阳空港区京冈乐越电器商行,https://shop32qq442154218.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
95
回头率
17%
综合服务分
4.5",夏季电器 | 冬季电器 | 电吹风
廊坊首诚节能科技有限公司,https://shop844705j95k100.1688.com/page/contactinfo.htm,4年,河北廊坊,"近90天成交笔数
0
回头率
0%
综合服务分
3",电热带 | 电热线 | 冬季电器
浙江添歌电器有限公司,https://zjtgdqgs.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
2
回头率
0%
综合服务分
3",工业风扇 | 其他取暖电器
慈溪市和美电器厂,https://shop362lj38125972.1688.com/page/contactinfo.htm,3年,浙江宁波,"近90天成交笔数
3
回头率
100%
综合服务分
3",冬季电器 | 电风扇 | 空调扇
新蔡县前勇商贸有限公司,https://shop6k8w725570404.1688.com/page/contactinfo.htm,2年,河南驻马店,"近90天成交笔数
370
回头率
19%
综合服务分
4",洗衣机 | 冬季电器 | 干衣机
湘潭县云湖桥镇鸿运电器厂,https://xthydq.1688.com/page/contactinfo.htm,3年,湖南湘潭,"近90天成交笔数
0
回头率
0%
综合服务分
3",暖脚器 | 其他取暖电器
衡水雷米商贸有限公司,https://shop6o31582io5276.1688.com/page/contactinfo.htm,1年,河北衡水,"近90天成交笔数
94
回头率
31%
综合服务分
4",塑料罐 | 塑料瓶、壶
深圳市麦宝家居用品有限公司,https://shop1457024544481.1688.com/page/contactinfo.htm,6年,广东深圳,"近90天成交笔数
68
回头率
29%
综合服务分
4",电热水袋 | 迷你电风扇 | 暖脚器
佛山市素乘科技研究有限公司,https://shop975464x150571.1688.com/page/contactinfo.htm,1年,广东佛山,"近90天成交笔数
3
回头率
50%
综合服务分
3",冬季电器 | 空调扇
沧州铭科环能电器设备有限公司,https://shop486964n3e0252.1688.com/page/contactinfo.htm,3年,河北沧州,"近90天成交笔数
2
回头率
0%
综合服务分
3",其他取暖电器 | 冬季电器
中山市立东家用电器有限公司,https://shop549769s524955.1688.com/page/contactinfo.htm,1年,广东中山,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他生活电器 | 其他取暖电器
东阳市马宅镇夏眠磁性软纱门厂,https://xm1987.1688.com/page/contactinfo.htm,7年,浙江金华,"近90天成交笔数
95
回头率
47%
综合服务分
4",窗纱 | 衣架 | 冬季电器
广东顺德斗禾电子科技有限公司,https://douhekeji.1688.com/page/contactinfo.htm,5年,广东佛山,"近90天成交笔数
1
回头率
0%
综合服务分
3",夏季电器 | 冬季电器 | 香薰机
平阳县雅健电子产品有限公司,https://shop1469033359166.1688.com/page/contactinfo.htm,5年,浙江温州,"近90天成交笔数
156
回头率
36%
综合服务分
4.5",电子美容仪 | 脱毛/剃毛器
宁波英普莱逊工艺品发展有限公司,https://shop8624798015104.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
87
回头率
21%
综合服务分
3",夏季电器 | 家用电炸锅
温州熠诚电子科技有限公司,https://shop8849f397tn686.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
56
回头率
35%
综合服务分
4.5",美发护发 | 冬季电器 | 保健小电
衡水聚祥暖通科技有限公司,https://shop407g5251l02l9.1688.com/page/contactinfo.htm,1年,河北衡水,"近90天成交笔数
10
回头率
0%
综合服务分
3",-
慈溪市阿尔斯诺电器有限公司,https://shop7r98759b42454.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
390
回头率
44%
综合服务分
4.5",冰箱 | 冬季电器 | 电风扇
平阳县逸森电子商务商行,https://shop018i076975hr7.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
576
回头率
29%
综合服务分
4.5",筋膜枪 | 冬季电器 | 刨冰机
宁波林迅进出口有限公司,https://linxun.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
36
回头率
43%
综合服务分
4",海绵 | 冬季电器 | 空调扇
佛山市顺德区杏坛羽大电器贸易商行,https://shop1452617300685.1688.com/page/contactinfo.htm,6年,广东佛山,"近90天成交笔数
271
回头率
53%
综合服务分
4.5",冬季电器 | 电风扇
慈溪市宸佳智能科技有限公司,https://cixichenjiamuju.1688.com/page/contactinfo.htm,8年,浙江宁波,"近90天成交笔数
498
回头率
40%
综合服务分
4",冬季电器 | 电风扇 | 品质生活
杭州智享科技有限公司,https://hzzxhl.1688.com/page/contactinfo.htm,7年,浙江杭州,"近90天成交笔数
0
回头率
0%
综合服务分
3",加湿器 | 品质生活 | 冬季电器
深圳乐如创新科技有限公司,https://loro1688.1688.com/page/contactinfo.htm,4年,广东深圳,"近90天成交笔数
1708
回头率
26%
综合服务分
3.5",移动电源 | 蓝牙音箱 | 冬季电器
聊城市宝腾食品机械有限公司,https://shop5iu53i8685250.1688.com/page/contactinfo.htm,1年,山东聊城,"近90天成交笔数
0
回头率
0%
综合服务分
3",热风炉 | 炊事设备
冀州区广越五金电料门市部,https://mijiazhiliankeji.1688.com/page/contactinfo.htm,1年,河北衡水,"近90天成交笔数
2
回头率
0%
综合服务分
3",接线插座 | 电源插头
贵州众暖科技开发有限公司,https://shop5841777965666.1688.com/page/contactinfo.htm,4年,贵州黔东南苗族侗族自治州,"近90天成交笔数
0
回头率
0%
综合服务分
3",暖脚器
广东施耐奇环保设备有限公司,https://srakke.1688.com/page/contactinfo.htm,4年,广东中山,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 电热锅炉 | 冲压加工
无锡玩咖电子商务有限公司,https://jsowskj.1688.com/page/contactinfo.htm,2年,江苏无锡,"近90天成交笔数
13
回头率
18%
综合服务分
3",其他取暖电器 | 毛巾架
宁波科吉电器有限公司,https://shop87pv4n8415685.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
3
回头率
0%
综合服务分
3",手电筒 | 头灯 | 冬季电器
瑞安市恒胜日用品厂,https://shop080838w5f2695.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
76
回头率
33%
综合服务分
4.5",美发护发 | 冬季电器 | 筋膜枪
深圳市宝安区霖茂电子商务商行,https://shop1486745983772.1688.com/page/contactinfo.htm,5年,广东深圳,"近90天成交笔数
530
回头率
40%
综合服务分
4",冬季电器 | 夏季电器 | 加湿器
慈溪市赢利纸箱厂,https://yinglizhixiang.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
2
回头率
0%
综合服务分
3",洗衣机 | 冬季电器 | 制冰机
慈溪市同晟电器有限公司,https://shop2540547843774.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
7
回头率
17%
综合服务分
3",空调扇 | 冬季电器 | 迷你电风扇
平阳县硕盈电子商务商行,https://shop8s75449s41574.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
293
回头率
42%
综合服务分
3.5",冬季电器 | 磨脚器 | 冲牙器
河北鑫亿阳商贸有限公司,https://shop1495719284733.1688.com/page/contactinfo.htm,4年,河北石家庄,"近90天成交笔数
20
回头率
13%
综合服务分
3",电热水袋 | 电风扇
揭阳市榕城区滨丽电吹风器厂,https://shop5398310893396.1688.com/page/contactinfo.htm,4年,广东揭阳,"近90天成交笔数
284
回头率
49%
综合服务分
4",电吹风 | 夏季电器 | 冬季电器
永康市丙泰电子科技有限公司,https://shop1411144842534.1688.com/page/contactinfo.htm,7年,浙江金华,"近90天成交笔数
4
回头率
0%
综合服务分
3",工业风扇 | 电火锅 | 冬季电器
深圳熊小凡科技有限公司,https://huizhonggou.1688.com/page/contactinfo.htm,4年,广东深圳,"近90天成交笔数
56
回头率
32%
综合服务分
4",香薰机 | 加湿器 | 冬季电器
余姚市家欢电器厂,https://shop1464972021663.1688.com/page/contactinfo.htm,5年,浙江宁波,"近90天成交笔数
2455
回头率
13%
综合服务分
5",冬季电器 | 电风扇 | 空调扇
义乌市詹康贸易有限公司,https://shop002x542115350.1688.com/page/contactinfo.htm,2年,浙江金华,"近90天成交笔数
61
回头率
19%
综合服务分
4",炒锅 | 电火锅 | 冬季电器
中山市索伯电器有限公司,https://sobedq.1688.com/page/contactinfo.htm,2年,广东中山,"近90天成交笔数
510
回头率
46%
综合服务分
4.5",电风扇 | USB风扇 | 冬季电器
温州鹏航电子科技有限公司,https://shop1461775792870.1688.com/page/contactinfo.htm,6年,浙江温州,"近90天成交笔数
243
回头率
32%
综合服务分
4",皮质拖鞋 | 冬季电器 | 美体瘦身
慈溪市华嵘电器厂,https://xiaorong2002888.1688.com/page/contactinfo.htm,19年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 其他夏季电器
深圳市鸿腾云创科技有限公司,https://shop43j106x4165a1.1688.com/page/contactinfo.htm,1年,广东深圳,"近90天成交笔数
46
回头率
45%
综合服务分
3",夏季电器 | 电风扇 | 冬季电器
佛山市顺德区科拓电器有限公司,https://ketuodianqi.1688.com/page/contactinfo.htm,7年,广东佛山,"近90天成交笔数
340
回头率
45%
综合服务分
4.5",电蒸锅 | 热水壶/瓶
温州海恋燕电子商务有限公司,https://shop65v90394ih472.1688.com/page/contactinfo.htm,2年,浙江温州,"近90天成交笔数
66
回头率
38%
综合服务分
4",电动牙刷 | 冬季电器
聊城市东昌府区行金电子商务经营部,https://shop111043ihi5959.1688.com/page/contactinfo.htm,1年,山东聊城,"近90天成交笔数
0
回头率
0%
综合服务分
3",炊事设备 | 热风炉 | 电玩设备
平阳县增雨工艺品厂,https://shop452v9287844r7.1688.com/page/contactinfo.htm,3年,浙江温州,"近90天成交笔数
234
回头率
44%
综合服务分
4",脱毛/剃毛器 | 美发护发
平阳县好君工艺品厂,https://hoyz.1688.com/page/contactinfo.htm,10年,浙江温州,"近90天成交笔数
1259
回头率
40%
综合服务分
3",美发护发 | 冬季电器
宁波犁头电器有限公司,https://shop857699546yg23.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
11801
回头率
26%
综合服务分
4",冬季电器 | 电风扇 | 空调扇
海曦创饰工艺品有限公司,https://shop6o12083463914.1688.com/page/contactinfo.htm,4年,广东深圳,"近90天成交笔数
412
回头率
33%
综合服务分
4",迷你电风扇 | 冬季电器
慈溪市附海向尚电器厂,https://shop512y07w591218.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
88
回头率
22%
综合服务分
4",足浴电器 | 冬季电器 | 电动牙刷
慈溪市鹏博电器有限公司,https://pengbodq.1688.com/page/contactinfo.htm,9年,浙江宁波,"近90天成交笔数
33
回头率
15%
综合服务分
3",电风扇 | 无叶扇 | 冬季电器
揭阳市鲸一科技有限公司,https://shop0l8m152h32118.1688.com/page/contactinfo.htm,1年,广东揭阳,"近90天成交笔数
1739
回头率
22%
综合服务分
4",夏季电器 | 冬季电器 | 榨汁机
揭阳空港区溪南依美若斯电器厂,https://shop2j6y448262j92.1688.com/page/contactinfo.htm,3年,广东揭阳,"近90天成交笔数
512
回头率
29%
综合服务分
4",加湿器 | 小夜灯 | 冬季电器
揭阳市榕城区悦心家用电器经营部,https://shop4609821t4a7r5.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
304
回头率
18%
综合服务分
3.5",电吹风 | 夏季电器 | 冬季电器
揭阳空港区凤美华腾达电器厂,https://shop0599c11c11669.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
172
回头率
22%
综合服务分
4",电吹风 | 美发护发 | 冬季电器
慈溪市凯成电子商务有限公司,https://shop603w6j8691633.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
632
回头率
21%
综合服务分
5",西式厨电 | 冬季电器
揭阳空港经济区凤美富和电器厂,https://shop5119224203388.1688.com/page/contactinfo.htm,2年,广东揭阳,"近90天成交笔数
3656
回头率
20%
综合服务分
4.5",夏季电器 | 电吹风 | 冬季电器
中山市每时乐电子商务有限公司,https://shop1833l9768z180.1688.com/page/contactinfo.htm,2年,广东中山,"近90天成交笔数
428
回头率
16%
综合服务分
5",夏季电器 | 加湿器 | 冬季电器
瑞安市耀瑞贸易有限公司,https://shop1488437821863.1688.com/page/contactinfo.htm,5年,浙江温州,"近90天成交笔数
103
回头率
10%
综合服务分
4",组合地垫 | 美发护发
瑞安市唯乐贸易有限公司,https://shop5416b13028931.1688.com/page/contactinfo.htm,3年,浙江温州,"近90天成交笔数
121
回头率
19%
综合服务分
4.5",冬季电器 | USB风扇 | 榨汁机
慈溪市瑞驰家用电器经营部,https://shop9313257l63667.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
12
回头率
9%
综合服务分
3",冬季电器 | 电热水龙头 | 电风扇
宁波象北电器集团有限公司,https://nbxiangbeidianqi.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
67
回头率
7%
综合服务分
4",夏季电器 | 充水热水袋
温州俊鼎日用品有限公司,https://xinyunriyong.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
3
回头率
0%
综合服务分
3",冬季电器 | 防虫防蛀
平阳县万维电子商务商行,https://shop6772344f61h86.1688.com/page/contactinfo.htm,1年,浙江温州,"近90天成交笔数
1
回头率
0%
综合服务分
3",舞台灯 | 沐浴球浴擦
临清市鑫和暖通制品有限公司,https://wxcn.1688.com/page/contactinfo.htm,15年,山东聊城,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器 | 晾衣架
深圳市优纳电子有限公司,https://shop992215120f804.1688.com/page/contactinfo.htm,1年,广东深圳,"近90天成交笔数
4
回头率
0%
综合服务分
3",车用吸尘器 | 车载电器
义乌市铂诺电子商务商行,https://shop782l206h25405.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
4
回头率
0%
综合服务分
3",其他取暖电器 | 健腹器
义乌市德鹏电器商行,https://ywdepeng.1688.com/page/contactinfo.htm,15年,浙江金华,"近90天成交笔数
0
回头率
0%
综合服务分
3",其他取暖电器 | 其他美容仪器
烨昀（东莞）智能科技有限公司,https://dghrindustry.1688.com/page/contactinfo.htm,2年,广东东莞,"近90天成交笔数
0
回头率
0%
综合服务分
3",无叶扇 | 潜水用品 | 冬季电器
义乌市祁瑞贸易有限公司,https://shop2322m8138ip91.1688.com/page/contactinfo.htm,1年,浙江金华,"近90天成交笔数
2
回头率
0%
综合服务分
3",电火锅 | 果盘、果篮 | 冬季电器
青岛凯普沃实业发展有限公司,https://kpwarm.1688.com/page/contactinfo.htm,8年,山东青岛,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
宁波萱之澜电器有限公司,https://shop87dn597845299.1688.com/page/contactinfo.htm,2年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",夏季电器 | 冬季电器
临沂百鸣商贸有限公司,https://shop43zz817111333.1688.com/page/contactinfo.htm,1年,山东临沂,"近90天成交笔数
0
回头率
0%
综合服务分
3",热风炉 | 冬季电器
佛山市顺德区基诺德电器制造有限公司,https://jnod.1688.com/page/contactinfo.htm,12年,广东佛山,"近90天成交笔数
69
回头率
10%
厂房面积
6902m²
员工人数
101-500人",即热式热水器 | 其他取暖电器
中能华邦环保科技有限公司,https://xt8599770.1688.com/page/contactinfo.htm,17年,江苏盐城,"近90天成交笔数
61
回头率
57%
厂房面积
19000m²
员工人数
11-50人",电热器 | 工业烤箱
佛山市方川电器有限公司,https://fangcun08.1688.com/page/contactinfo.htm,13年,广东佛山,"近90天成交笔数
2
回头率
0%
厂房面积
451m²
员工人数
11-50人",电热器 | 电热片
深圳市汇奇美科技有限公司,https://huiqimei123.1688.com/page/contactinfo.htm,8年,广东深圳,"近90天成交笔数
347
回头率
28%
厂房面积
2300m²
员工人数
51-100人",迷你电风扇 | 加湿器 | 车载电器
慈溪昊德电器有限公司,https://cxhddq.1688.com/page/contactinfo.htm,6年,浙江宁波,"近90天成交笔数
15
回头率
7%
综合服务分
3",冬季电器 | 迷你电风扇
河北拓春采暖设备有限公司,https://shop3621483640h52.1688.com/page/contactinfo.htm,1年,河北衡水,"近90天成交笔数
16
回头率
0%
综合服务分
4.5",燃烧器
揭阳空港区凤美日硕电器厂,https://shop0120y169s3107.1688.com/page/contactinfo.htm,3年,广东揭阳,"近90天成交笔数
245
回头率
13%
厂房面积
1550m²
员工人数
11-50人",冬季电器 | 加湿器 | 家居清洁
深圳市柑子科技有限公司,https://shop697w1w07y5015.1688.com/page/contactinfo.htm,4年,广东深圳,"近90天成交笔数
437
回头率
35%
综合服务分
4.5",迷你电风扇 | 冬季电器
扬州团瑞电气有限公司,https://yztrdq.1688.com/page/contactinfo.htm,7年,江苏扬州,"近90天成交笔数
5
回头率
0%
综合服务分
3",电热器 | 电热片
慈溪市东月电器厂,https://dongyuedq.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
36
回头率
8%
综合服务分
4",电风扇 | 挂烫机 | 冬季电器
江苏安宏之睿业科技有限公司,https://anhongzhiruiye.1688.com/page/contactinfo.htm,3年,江苏盐城,"近90天成交笔数
13
回头率
8%
综合服务分
4.5",电热器 | 换热器
宁波冰火兽电器有限公司,https://shop71p359015d3p5.1688.com/page/contactinfo.htm,1年,浙江宁波,"近90天成交笔数
0
回头率
0%
综合服务分
3",冬季电器
江苏合邦机械设备有限公司,https://shop1492505705540.1688.com/page/contactinfo.htm,5年,江苏盐城,"近90天成交笔数
9
回头率
0%
综合服务分
3",电热器 | 其他电热设备 | 换热器
江苏中仁机械设备有限公司,https://ycxyxhb.1688.com/page/contactinfo.htm,6年,江苏盐城,"近90天成交笔数
15
回头率
50%
综合服务分
3",电热器 | 加热器 | 废气吸附装置
深圳市大荣华科技有限公司,https://daronghua.1688.com/page/contactinfo.htm,2年,广东深圳,"近90天成交笔数
150
回头率
22%
综合服务分
4.5",手机充电器 | 手机数据线
揭阳市榕城区德沃玛电器厂,https://dewomachina.1688.com/page/contactinfo.htm,8年,广东揭阳,"近90天成交笔数
35
回头率
44%
综合服务分
3",干衣机 | 冬季电器
河北博洛尼采暖设备有限公司,https://shop6563z0e0649n8.1688.com/page/contactinfo.htm,4年,河北衡水,"近90天成交笔数
1
回头率
0%
综合服务分
3",-
深圳市奥利尚电子科技有限公司,https://szolishangdz.1688.com/page/contactinfo.htm,1年,广东深圳,"近90天成交笔数
71
回头率
8%
综合服务分
3",迷你电风扇 | 冬季电器
佛山市南海亦科电子有限公司,https://nhyikedianzi.1688.com/page/contactinfo.htm,13年,广东佛山,"近90天成交笔数
0
回头率
0%
综合服务分
3",电阻器 | 半导体材料 | 电热器
盐城中尔瑞机械制造有限公司,https://yczerjx.1688.com/page/contactinfo.htm,5年,江苏盐城,"近90天成交笔数
0
回头率
0%
综合服务分
3",工业电炉 | 电热器
上海丽韬实业有限公司,https://shop1444799665149.1688.com/page/contactinfo.htm,6年,上海上海,"近90天成交笔数
0
回头率
0%
综合服务分
3",电热膜 | 半导体材料 | 电热器
潍坊仁达环保科技有限公司,https://shop413n275755l35.1688.com/page/contactinfo.htm,1年,山东潍坊,"近90天成交笔数
7
回头率
0%
综合服务分
3",热风炉 | 农业用具
慈溪市宗汉行芯电器厂,https://xxdianqi.1688.com/page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
35
回头率
37%
综合服务分
3",冬季电器 | 挂烫机
江苏鑫瑞特电热科技有限公司,https://shop38x10t4159201.1688.com/page/contactinfo.htm,4年,江苏盐城,"近90天成交笔数
0
回头率
0%
综合服务分
3",电热器 | 电热圈 | 加热器
